"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"slush",32,4.541666667,4.04,1.4624,6.95,5,NA,29,26,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slut",23,4.652173913,3.19,2.7634,12.67,4,NA,28,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smock",32,5.08,4.78,1.415,6.26,5,NA,31,20,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smooch",21,4.32,4.21,1.3979,6.74,6,NA,27,27,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smoothie",26,6.041666667,4.62,1.5798,8.73,8,NA,27,26,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smuggler",28,4.481481481,4.31,1.7993,9.95,8,NA,30,26,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snack",27,6.142857143,4.36,2.6693,2.78,5,18,25,25,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snail",40,4.52173913,4.93,1.959,5.79,5,8,37,32,83,"A O",632,243,550,215,261,411,25,28,24,27,28,28,579,489,577,0.78,8,4.52,3.05,5.58,5.79,5,1,3,1,1.76,0.64,221,569,NA
"sneaker",40,6.48,4.69,1.5563,6.25,7,11,35,34,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snorkel",22,4.814814815,4.56,1.5051,9.11,7,12,24,23,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snot",32,5.32,4.48,2.0374,5.47,4,13,32,25,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snow",31,5.538461538,4.85,3.2041,4.11,4,14,27,24,75,"W",112,137,180,131,117,471,26,27,25,26,24,24,618,615,597,1.63,14,6.78,4.57,5.62,4.11,4,8,4,1,31.35,9.22,151,161,NA
"snowball",32,5.5,4.93,1.8573,4.74,8,NA,32,29,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snowdrift",34,4.304347826,4.78,1,11.37,9,NA,29,22,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snowfall",40,4.347826087,4.66,1.3222,5.63,8,NA,35,27,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snowflake",29,5,4.76,NA,5.32,9,NA,30,21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snowman",26,4.916666667,4.64,1.9912,3.47,7,NA,26,24,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snowshoe",33,5.541666667,4.67,0.4771,7.68,8,NA,26,23,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soap",28,6.434782609,4.93,2.8899,3.17,4,22,35,35,88,"O M",115,104,196,152,216,268,26,27,24,23,25,25,598,594,600,1.62,22,7.1,2.62,5.32,3.17,4,6,28,1,15.2,6.14,152,143,NA
"soccer",46,4.64,4.76,2.8069,5.89,6,8,32,31,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sock",33,5.833333333,4.91,2.6618,2.94,4,8,30,28,80,"O C",109,108,173,165,181,286,23,25,26,26,26,21,581,578,553,0.78,8,4.43,3.09,5.14,2.94,4,13,42,1,8.98,3.6,152,134,NA
"socket",22,5.24,4.32,1.9191,8.06,6,13,25,22,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soda",23,6.47826087,4.97,3.0056,4.42,4,12,24,23,47,"O E",117,125,142,148,146,254,24,24,24,23,26,24,600,536,544,1.48,12,5.47,4.77,6.04,4.42,4,6,6,2,19.84,7.95,161,137,NA
"sofa",29,6.608695652,4.9,2.4771,4.5,4,10,32,32,94,"O F",100,108,158,123,150,185,25,24,26,22,26,26,629,564,597,0.9,10,6.26,2.9,5.84,4.5,4,5,3,2,5.86,2.69,144,129,NA
"softball",29,5.75,4.89,2.0645,6.42,8,15,33,31,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soil",32,5.703703704,4.87,2.5999,6.48,4,6,36,32,75,"O N",321,129,193,129,179,207,24,24,27,24,28,27,581,516,566,1.04,6,5.21,2.76,5.18,6.48,4,7,24,1,7.78,3.47,164,265,NA
"soldier",33,4.56,4.72,3.298,6.94,7,13,26,24,57,"H P",684,652,584,676,574,617,25,27,25,25,23,24,578,517,578,1.45,13,5.45,5.9,5.84,6.94,7,0,1,2,38.92,9.9,654,652,NA
"soles",27,4.913043478,4.17,1.6812,NA,5,NA,34,28,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sombrero",28,5.518518519,4.7,1.1761,9.06,8,NA,30,24,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"someone",77,4.625,3.71,4.357,4.92,7,NA,35,27,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"son",42,5.875,4.14,4.3212,3.78,3,6,27,19,76,"H R",700,632,600,628,496,619,25,28,26,25,25,27,638,607,560,0.9,6,6.91,4.43,5,3.78,3,29,40,1,410.76,61.34,612,671,NA
"songbook",40,5.76,4.63,0.6021,6.39,8,NA,36,36,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"souffle",34,5.571428571,4.57,1.3617,11.8,7,NA,29,23,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soup",38,5.576923077,4.72,3.1092,5.37,4,25,25,22,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sourdough",24,5.12,4.66,1.2553,9.58,9,NA,34,28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"southerner",40,5.045454545,3.67,NA,9.68,10,NA,31,22,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soy",23,4.785714286,4.7,2.0755,13.56,3,NA,25,21,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soybean",16,5.2,4.82,1.415,11.6,7,NA,25,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spacesuit",26,4.814814815,4.96,0.8451,6.75,9,NA,28,22,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spade",20,4.4,4.46,NA,8.11,5,13,29,21,45,"O T",122,126,178,108,120,296,27,23,27,26,25,24,565,513,578,0.3,13,5.48,3.74,4.88,8.11,5,7,16,1,2.31,0.68,143,160,NA
"spareribs",23,4.869565217,4.76,1.3617,9.94,9,NA,30,22,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spatula",28,5.708333333,4.96,1.7559,7.32,7,16,36,36,91,"O T",100,113,117,133,173,252,25,24,24,24,26,25,586,407,517,0,16,5.14,2.86,6.41,7.32,7,0,0,3,1.1,0.37,160,117,NA
"speakers",25,4.92,4.93,2.0043,NA,8,NA,25,21,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spear",53,5.208333333,5,2.3674,7.22,5,NA,39,37,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spectacles",25,5.28,4.56,1.6335,NA,10,NA,25,21,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spectroscope",18,4.9,4,0.4771,15.18,12,NA,25,22,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"speedboat",38,5.434782609,4.87,1.4472,6.5,9,NA,31,28,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spices",32,5.391304348,4.66,2.0607,6.69,6,NA,54,50,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spider",28,5.32,4.97,2.7126,3.43,6,12,25,20,47,"I",659,272,630,179,261,612,22,25,27,28,23,25,607,526,597,0.85,12,3.35,6.91,3.74,3.43,6,0,6,2,10.1,2.75,223,628,NA
"spike",41,4.615384615,4.52,NA,7.58,5,23,29,23,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spinach",42,4.96,4.77,2.1173,4.94,7,14,29,28,91,"P E",452,131,379,124,170,264,25,26,24,25,23,28,589,452,606,0.48,14,5.81,3.43,5.46,4.94,7,0,1,2,2.55,1.07,132,398,NA
"spine",37,4.8,4.88,2.4683,7.35,5,10,28,24,66,"B",426,142,181,316,243,380,27,26,26,25,21,25,622,492,543,0.78,10,5.33,3.14,5.52,7.35,5,10,17,1,5.75,2.87,215,301,NA
"spit",37,4.391304348,4.71,2.9948,5.06,4,23,33,26,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"splint",28,4.958333333,4.69,1.6532,9.16,6,NA,26,24,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"splinter",28,4.652173913,4.41,1.8808,4.72,8,13,27,23,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spokesman",34,4.375,4.11,1.7853,9.05,9,NA,27,24,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sponge",25,6.5,5,2.5353,5,6,18,24,23,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spool",30,4.52173913,4.62,1.4314,8,5,5,29,22,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spoon",50,6.115384615,4.96,2.5899,2.5,5,12,34,31,121,"O T",108,122,109,146,179,259,25,23,23,26,24,27,614,612,584,1.2,12,5.9,3.79,5.18,2.5,5,5,12,1,7.61,3.22,171,120,NA
"sportswoman",40,4.68,4.32,0.4771,9.48,11,NA,27,24,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sportswriter",47,4.32,3.93,1.5682,11.89,12,NA,33,27,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spout",30,5,4.67,1.7243,8,5,NA,26,24,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sprayer",26,4.96,4.62,0.8451,7.71,7,NA,27,24,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spreader",24,4.375,3.72,1.5563,9.21,8,NA,29,24,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sprinkler",33,4.962962963,4.89,1.6812,5.53,9,NA,31,25,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sprinter",29,4.565217391,4.13,0.7782,9.74,8,NA,36,34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spyglass",36,5.64,4.79,1.1761,10.83,8,NA,29,25,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"squash",44,5.409090909,4.7,2.3502,6.94,6,20,27,22,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"squeegee",23,5.875,4.75,1.1761,9.94,8,NA,25,20,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"squirrel",34,4.346153846,4.89,2.4472,4.44,8,11,31,26,66,"A M",663,419,631,244,305,679,24,21,26,25,20,24,612,511,642,0.9,11,5.71,4.48,5.62,4.44,8,0,0,2,5.47,1.97,351,664,NA
"stableman",30,4.375,4.73,0.301,10.21,9,NA,28,26,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"staff",47,4.928571429,4.36,3.213,10,5,23,31,30,77,"Q",496,458,433,543,448,487,26,26,21,23,25,23,515,577,478,0.78,23,5.18,4.3,6.26,10,5,2,9,1,32,11.77,486,468,NA
"stage",34,4.875,4.64,3.3664,6.32,5,19,27,25,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stagecoach",33,4.538461538,4.93,1.716,9,10,NA,29,25,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"staircase",30,5.695652174,4.66,1.9542,6.5,9,NA,31,29,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stairs",24,5.88,5,3.0839,4.22,6,18,52,48,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stairwell",32,5.038461538,4.85,2.0374,8.94,9,NA,37,32,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stake",41,4.36,4.21,2.9284,8.47,5,17,34,30,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stall",35,4.625,4.37,2.6609,7.75,5,14,33,25,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stallion",53,4.88,4.72,2.2148,9.42,8,8,37,36,120,"A M",638,411,580,218,327,619,24,27,20,22,26,26,588,608,616,0.3,8,6.35,4.77,6.56,9.42,8,1,2,2,3.2,1.13,356,632,NA
"stamp",35,5.304347826,4.7,2.4814,6.33,5,13,34,28,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"staple",38,5.32,4.34,1.7634,7.18,6,11,31,27,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stapler",27,6.458333333,4.62,1.6532,5.83,7,9,32,26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"starch",21,4.416666667,4.29,1.8451,10.67,6,17,28,23,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stationary",34,4.727272727,3.95,1.699,7.22,10,NA,45,38,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"statue",62,4.777777778,4.93,2.7332,7.55,6,17,33,29,96,"O M",104,100,156,292,170,138,24,26,25,25,23,24,600,444,562,1.18,17,5.95,2.82,4.95,7.55,6,1,1,2,10.59,3.78,165,103,NA
"statuette",33,4.739130435,4.54,0.699,13.62,9,NA,25,20,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steak",38,5.75,4.96,2.9186,6.63,5,19,29,25,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steamboat",43,4.541666667,4.9,1.4314,7.67,9,NA,32,32,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steel",27,4.884615385,4.87,2.9741,7.68,5,17,25,21,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steelworker",26,4.44,4.44,0.301,10.27,11,NA,33,25,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stem",26,4.666666667,4.63,2.0607,7.26,4,9,28,24,42,"P I",396,143,267,164,191,265,28,28,27,25,23,26,556,513,533,0.7,9,5.1,3.47,6.19,7.26,4,5,8,1,2.24,1.13,170,330,NA
"stencil",21,5.583333333,4.83,1,6.94,7,NA,25,22,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"step",28,5.2,4.54,3.782,4.11,4,10,31,29,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepbrother",39,4.88,4.67,1.2304,7.72,11,NA,28,23,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepchild",39,5.04,4.33,0.9031,7.89,9,NA,33,28,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepdaughter",38,4.72,4.07,1.4914,8.61,12,NA,35,25,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepfather",49,5.16,4,2.1818,8.42,10,NA,29,24,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepladder",36,6.130434783,4.67,1.2788,7.22,10,NA,33,31,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepson",36,5.304347826,3.68,1.4472,7.94,7,NA,28,24,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stereo",45,5.68,4.63,2.4843,5.95,6,14,40,34,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steroids",34,4.52,4.52,2.1173,13.18,8,NA,28,21,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stethoscope",25,5.8,4.86,1.6902,8.5,11,11,35,29,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stewardess",36,5.12,4.31,2.2095,9.35,10,13,27,25,61,"H P",650,592,573,585,515,654,26,24,26,26,27,24,657,616,512,0,13,5.9,4.14,4.97,9.35,10,0,0,2,3.16,1.24,584,630,NA
"stick",46,6.16,4.59,3.695,3.89,5,24,33,31,89,"P I",216,108,208,156,117,276,25,25,24,27,23,25,604,528,517,1.74,24,5.27,3.81,5.82,3.89,5,6,15,1,97.12,35.71,132,209,NA
"stilt",19,4.652173913,4.5,0.4771,10.25,5,NA,27,22,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stirrer",26,4.615384615,3.83,0.699,8.56,7,NA,31,27,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stirrup",32,4.958333333,4.9,1.1139,9.68,7,NA,31,24,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stitching",30,4.444444444,4.48,1.5185,8.89,9,NA,26,24,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stockbroker",47,4.851851852,4.32,1.7404,11.05,11,NA,31,24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
