"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"amulet",26,5.291666667,4,2.0755,11.53,6,NA,33,26,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anchor",42,5.739130435,4.77,2.5786,5.72,6,10,25,22,53,"O M",145,131,200,222,215,263,22,26,29,27,20,24,595,458,561,0,10,5.16,3.32,5.29,5.72,6,0,2,2,7.41,2.24,181,159,NA
"anchovy",23,4.428571429,4.96,0.9031,9.32,7,NA,26,24,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"animal",66,5.958333333,4.61,3.3657,2.89,6,28,38,34,117,"A O",700,474,612,329,428,584,27,23,25,24,25,25,587,620,575,2.19,28,7.06,4.3,5.72,2.89,6,0,1,3,45.49,16.36,437,672,NA
"ankle",28,5.833333333,4.81,2.6128,4.89,5,16,25,22,72,"B",427,132,209,275,239,535,26,22,23,24,28,23,608,543,613,0.85,16,5.4,3.11,5.58,4.89,5,1,3,2,8.02,3.41,194,318,NA
"anklet",37,5.708333333,4.75,1.3424,9.06,6,NA,38,30,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"announcer",19,4.296296296,4.52,NA,6.85,9,NA,25,21,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ant",48,4.84,4.86,2.4378,4.32,3,14,29,22,77,"I",667,309,629,211,330,612,27,23,28,27,27,26,604,511,613,1.04,14,3.9,3.27,5.3,4.32,3,11,11,1,5.35,1.32,271,634,NA
"antenna",41,4.695652174,4.75,2.0899,7.05,7,13,36,29,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antennae",48,4.538461538,4.85,1.4624,NA,8,NA,29,21,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
