Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
automotive,drive,0.219178082,0.592592593,37,NA,NA,4.454545455,4.19,1.5315,7.89,10,NA,27,24,74
avocado,eat,0.244444444,0.733333333,36,NA,0.026841306,6.24137931,4.89,1.7993,9.29,7,NA,30,28,80
awning,protect,0.123076923,0.285714286,33,NA,NA,4.565217391,4.61,1.3979,11.06,6,NA,28,27,67
axe,cut,0.237113402,0.237113402,34,NA,0.137287013,6.153846154,5,2.3979,6.11,3,NA,97,93,263
axle,build,0.075,0.090909091,27,NA,NA,4.904761905,4.5,1.8062,10.85,4,NA,33,20,42
azalea,plant,0.153846154,0.285714286,28,NA,NA,5.263157895,4.4,0.8451,13,6,NA,28,18,60
babe,love,0.229166667,0.392857143,29,NA,NA,4.555555556,3.67,3.2589,6.61,4,NA,28,21,44
baby,feed,0.101010101,0.357142857,57,NA,NA,6.285714286,5,4.4146,3.84,4,19,28,26,97
backboard,decorate,0.113636364,0.172413793,33,NA,NA,4.565217391,4.93,1.3979,8.63,9,NA,29,23,42
backbone,hold,0.123076923,0.235294118,39,NA,NA,4.64,4.19,1.9294,6.95,8,14,34,28,63
backdoor,open,0.279069767,0.461538462,16,NA,NA,5.2,4.5,1.4914,6.11,8,NA,26,21,41
backgammon,play,0.357142857,0.714285714,27,NA,NA,4.869565217,4.47,1.5798,10,10,NA,28,26,55
backpack,carry,0.25,0.571428571,32,0.036,NA,5.72,4.96,2.2718,5.38,8,12,28,22,63
backscratcher,scratch,0.338235294,0.884615385,29,NA,NA,5.52,4.58,0.7782,6.63,13,NA,26,26,73
bacon,eat,0.24137931,0.777777778,33,0.017,0.23961206,5.916666667,4.9,2.7825,5,5,10,27,26,82
badge,wear,0.175675676,0.433333333,43,NA,NA,5.72,4.93,2.8915,6.11,5,14,30,29,70
badminton,play,0.204081633,0.384615385,22,NA,NA,4.92,4.7,1.301,10.94,9,NA,26,20,51
bag,carry,0.25,0.541666667,29,0.039,0.081791781,6.038461538,4.9,3.681,4.28,3,17,24,23,54
baggage,carry,0.178571429,0.5,40,NA,NA,5.965517241,4.43,2.5038,7.52,7,10,30,26,82
bagpipe,play,0.166666667,0.18,32,NA,NA,5.761904762,4.97,1.2041,9.33,7,NA,50,44,107
bait,fish,0.293103448,0.653846154,16,0.629,NA,4.375,4.45,2.6964,7.11,4,8,26,24,49
baklava,eat,0.306666667,0.793103448,34,NA,NA,5.454545455,4.32,1.2041,15.69,7,NA,29,26,75
balcony,sit,0.109756098,0.257142857,37,NA,NA,4.739130435,4.68,2.5729,8.1,7,18,35,33,81
ball,throw,0.174698795,0.878787879,44,0.071,0.050011405,6.608695652,5,3.7287,2.9,4,17,33,32,154
ballerina,dance,0.256756757,0.678571429,34,0.253,NA,4.695652174,4.61,2.0755,5.26,9,14,28,26,73
balloon,blow up,0.156862745,0.470588235,38,NA,NA,5.523809524,4.92,2.6464,4.37,7,21,34,32,100
balloonist,entertain,0.12962963,0.259259259,35,NA,NA,4.275862069,4.5,0.6021,9.94,10,NA,27,25,57
ballot,vote,0.266666667,0.592592593,33,0.518,NA,4.434782609,4.73,1.8451,8.83,6,7,27,25,55
ballplayer,play,0.152173913,0.25,25,NA,NA,4.56,4.68,1.5185,7.42,10,NA,28,21,46
balm,moisturize,0.225,0.272727273,18,NA,NA,4.583333333,3.68,1.4914,10.28,4,NA,33,22,43
bamboo,eat,0.133333333,0.444444444,49,NA,NA,5.68,4.86,1.9085,9.28,6,NA,27,24,87
banana,eat,0.3,0.84,28,NA,0.059957002,6.107142857,5,2.7388,3.78,6,13,25,23,76
band,music,0.230769231,0.555555556,24,0.432,NA,4.384615385,4.68,3.4354,6.16,4,14,27,26,53
bandage,cover,0.105882353,0.310344828,44,NA,NA,6.304347826,4.85,2.1673,5.94,7,14,29,27,79
bangle,wear,0.271186441,0.484848485,30,NA,NA,5.115384615,4.38,NA,8.65,6,NA,33,25,57
banister,hold,0.14,0.259259259,28,NA,NA,5.130434783,4.75,1.8325,10,8,NA,27,25,51
banjo,play,0.283783784,0.724137931,32,0.075,NA,6.291666667,4.9,1.9243,8.44,5,14,29,28,60
bank,money,0.089552239,0.24,33,0.799,NA,4.72,4.78,3.637,6.44,4,6,25,22,67
bankbook,write,0.130434783,0.230769231,28,NA,NA,5.363636364,4.81,0.9542,11.47,8,NA,26,22,47
banknote,give,0.113636364,0.172413793,29,NA,NA,4.52173913,4.88,0.8451,12.18,8,NA,29,21,43
banquet,celebrate,0.123076923,0.266666667,31,NA,NA,4.538461538,4,2.4216,8.35,7,9,30,23,56
barbecue,cook,0.272727273,0.461538462,18,0.02,0.265171955,4.833333333,4.52,2.6599,7.83,8,13,26,21,46
barber,cut,0.225,0.529411765,33,NA,NA,4.958333333,4.59,2.4472,6.68,6,NA,34,31,72
barkeep,drink,0.152173913,0.28,26,NA,NA,4.260869565,4.22,NA,14.37,7,NA,25,24,49
barley,cook,0.15625,0.384615385,34,NA,NA,4.541666667,4.59,1.6721,9.8,6,18,26,20,61
barman,drink,0.191780822,0.482758621,35,NA,NA,4.818181818,4.46,1.4624,13.33,6,NA,29,26,68
