"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","bazooka","7","495","6.205","-0.042"
"1","beach","5","26,666","10.191","-0.489"
"1","beachwear","9","3","1.099","0.364"
"1","bead","4","1,824","7.509","-0.427"
"1","beagle","6","853","6.749","-0.235"
"1","beaker","6","406","6.006","-0.037"
"1","beanstalk","9","98","4.585","-0.140"
"1","beard","5","3,173","8.062","-0.605"
"1","beautician","10","25","3.219","0.351"
"1","bed","3","31,345","10.353","-0.817"
"1","bedclothes","10","61","4.111","0.396"
"1","bedpost","7","52","3.951","-0.131"
"1","bedroom","7","6,735","8.815","-0.427"
"1","bedspread","9","136","4.913","-0.285"
"1","beef","4","5,285","8.573","-0.688"
"1","beefcake","8","97","4.575","-0.076"
"1","beefsteak","9","44","3.784","0.165"
"1","beer","4","24,708","10.115","-0.664"
"1","beet","4","420","6.040","-0.249"
"1","beetle","6","1,026","6.933","-0.581"
"1","beggar","6","682","6.525","-0.241"
"1","bell","4","24,815","10.119","-0.743"
"1","bellboy","7","81","4.394","-0.032"
"1","bellflower","10","83","4.419","0.966"
"1","bellman","7","64","4.159","-0.057"
"1","belly","5","5,986","8.697","-0.694"
"1","belongings","10","615","6.422","-0.233"
"1","belt","4","10,820","9.289","-0.798"
"1","bench","5","5,360","8.587","-0.652"
"1","beret","5","436","6.078","-0.035"
"1","berry","5","2,897","7.971","-0.663"
"1","beverage","8","1,425","7.262","-0.456"
"1","bib","3","781","6.661","-0.143"
"1","Bible","5","24,550","10.108","-0.684"
"1","bicep","5","155","5.043","-0.043"
"1","bicycle","7","5,038","8.525","-0.454"
"1","bifocals","8","102","4.625","0.017"
"1","bike","4","22,527","10.022","-0.622"
"1","bill","4","116,919","11.669","-0.708"
"1","billfold","8","46","3.829","0.061"
"1","billiards","9","316","5.756","-0.133"
"1","bin","3","15,831","9.670","-0.439"
"1","binoculars","10","958","6.865","-0.328"
"1","biologist","9","1,554","7.349","-0.102"
"1","bird","4","19,070","9.856","-0.689"
"1","birdbath","8","25","3.219","0.029"
"1","birdseed","8","107","4.673","0.031"
"1","birthmark","9","88","4.477","-0.124"
"1","biscuit","7","599","6.395","-0.495"
"1","bistro","6","195","5.273","-0.131"
"1","blackberry","10","130","4.868","-0.251"
"1","blackboard","10","462","6.136","-0.258"
"1","blackhead","9","9","2.197","-0.170"
"1","blade","5","9,592","9.169","-0.613"
"1","blanket","7","3,814","8.246","-0.550"
"1","blazer","6","901","6.804","-0.807"
"1","bleach","6","1,319","7.185","-0.590"
"1","blender","7","972","6.879","-0.425"
"1","blindfold","9","610","6.413","-0.409"
"1","blister","7","423","6.047","-0.384"
"1","block","5","33,257","10.412","-0.889"
"1","bloke","5","886","6.787","0.293"
"1","blood","5","51,801","10.855","-0.728"
"1","bloodhound","10","271","5.602","-0.213"
"1","blouse","6","1,685","7.430","-0.414"
"1","blower","6","536","6.284","-0.198"
"1","blowgun","7","21","3.045","0.092"
"1","blowtorch","9","120","4.787","0.574"
"1","blueberry","9","318","5.762","-0.399"
"1","bluefish","8","49","3.892","-0.304"
"1","blueprint","9","746","6.615","-0.443"
"1","boa","3","780","6.659","0.190"
"1","board","5","79,617","11.285","-0.687"
"1","boardinghouse","13","45","3.807","0.921"
"1","boat","4","15,857","9.671","-0.818"
"1","boathouse","9","162","5.088","0.043"
"1","boatman","7","59","4.078","-0.493"
"1","bobsleigh","9","1","0.000","0.341"
"1","bodice","6","278","5.628","-0.179"
"1","body","4","116,235","11.663","-0.629"
"1","bodybuilder","11","209","5.342","0.026"
"1","bodyguard","9","3,665","8.207","-0.231"
"1","bolt","4","7,295","8.895","-0.354"
"1","bomb","4","15,377","9.641","-0.695"
"1","bonbon","6","11","2.398","0.170"
"1","bondsman","8","16","2.773","0.336"
"1","bone","4","16,063","9.684","-0.454"
"1","bong","4","1,335","7.197","-0.145"
"1","bonnet","6","425","6.052","-0.288"
"1","book","4","190,905","12.160","-0.887"
"1","bookbinder","10","34","3.526","0.574"
"1","bookcase","8","355","5.872","-0.376"
"1","bookend","7","29","3.367","0.133"
"1","bookkeeper","10","126","4.836","-0.513"
"1","booklet","7","4,512","8.414","-0.431"
"1","bookmark","8","1,721","7.451","-0.399"
"1","bookseller","10","254","5.537","-0.268"
"1","bookshelf","9","1,124","7.025","-0.359"
"1","boomerang","9","2,322","7.750","0.011"
"1","boot","4","43,868","10.689","-0.839"
"1","booth","5","4,464","8.404","-0.588"
"1","bootlace","8","1","0.000","-0.030"
"1","booze","5","962","6.869","-0.335"
"1","bosom","5","551","6.312","0.123"
"1","bottle","6","18,633","9.833","-0.596"
"1","boulder","7","6,519","8.782","-0.417"
"1","bouquet","7","597","6.392","-0.308"
"1","bourbon","7","457","6.125","-0.166"
"1","boutique","8","687","6.532","-0.213"
"1","bowl","4","10,720","9.280","-0.692"
"1","bowling","7","5,426","8.599","-0.684"
"1","box","3","171,530","12.053","-0.585"
"1","boxer","5","1,744","7.464","-0.695"
"1","boy","3","42,823","10.665","-0.900"
"1","boyfriend","9","4,682","8.451","-0.412"
"1","bra","3","3,728","8.224","-0.457"
"1","brace","5","1,418","7.257","-0.568"
"1","bracelet","8","443","6.094","-0.457"
"1","braid","5","501","6.217","-0.389"
"1","branch","6","13,544","9.514","-0.572"
"1","brandy","6","1,564","7.355","-0.354"
"1","brass","5","12,055","9.397","-0.545"
"1","bratwurst","9","38","3.638","0.227"
"1","bread","5","9,063","9.112","-0.768"
"1","breadbasket","11","37","3.611","0.193"
"1","breakfast","9","7,624","8.939","-0.469"
"1","breastbone","10","64","4.159","-0.121"
"1","breastplate","11","124","4.820","0.405"
"1","breasts","7","10,188","9.229","-0.563"
"1","breeches","8","147","4.990","0.045"
"1","brick","5","3,969","8.286","-0.719"
"1","bricklayer","10","38","3.638","0.223"
"1","brickwork","9","15","2.708","0.399"
"1","bridegroom","10","111","4.710","0.070"
"1","bridesmaid","10","218","5.384","-0.057"
"1","bridge","6","19,356","9.871","-0.770"
"1","briefcase","9","759","6.632","-0.449"
"1","briefs","6","1,284","7.158","-0.467"
"1","brisket","7","149","5.004","-0.045"
"1","broach","6","231","5.442","0.107"
"1","broccoli","8","915","6.819","-0.085"
"1","brochure","8","4,609","8.436","-0.076"
"1","broiler","7","177","5.176","-0.325"
"1","broker","6","4,647","8.444","-0.502"
"1","brooch","6","66","4.190","-0.011"
"1","broom","5","600","6.397","-0.402"
"1","broomstick","10","164","5.100","-0.435"
"1","broth","5","768","6.644","-0.272"
"1","brother","7","23,702","10.073","-0.609"
"1","brow","4","804","6.690","-0.612"
"1","brush","5","5,701","8.648","-0.540"
"1","bubble","6","5,866","8.677","-0.607"
"1","buck","4","6,798","8.824","-0.245"
"1","bucket","6","3,329","8.110","-0.603"
"1","buckle","6","1,228","7.113","-0.427"
"1","buckwheat","9","279","5.631","0.095"
"1","buddy","5","8,318","9.026","-0.526"
"1","buffalo","7","8,343","9.029","-0.431"
"1","buffet","6","1,209","7.098","-0.335"
"1","bug","3","32,226","10.381","-0.754"
"1","bugle","5","435","6.075","0.077"
"1","builder","7","3,904","8.270","-0.484"
"1","building","8","48,370","10.787","-0.542"
"1","bulb","4","3,246","8.085","-0.330"
"1","bulldozer","9","307","5.727","-0.322"
"1","bullet","6","8,338","9.029","-0.670"
"1","bullfighter","11","33","3.497","-0.277"
"1","bullfrog","8","526","6.265","-0.449"
"1","bully","5","1,379","7.229","-0.538"
"1","bum","3","1,698","7.437","-0.351"
"1","bun","3","886","6.787","-0.319"
"1","bunion","6","8","2.079","0.060"
"1","bunk","4","1,071","6.976","-0.353"
"1","bunkhouse","9","83","4.419","0.514"
"1","bunkmate","8","5","1.609","0.597"
"1","bunny","5","5,325","8.580","-0.464"
"1","buoy","4","164","5.100","0.677"
"1","burger","6","2,438","7.799","-0.477"
"1","burglar","7","659","6.491","-0.282"
"1","burlap","6","161","5.081","-0.117"
"1","bus","3","35,778","10.485","-0.744"
"1","bush","4","10,889","9.296","-0.619"
"1","businessman","11","1,420","7.258","0.248"
"1","businesswoman","13","68","4.220","0.355"
"1","butcher","7","1,840","7.518","-0.307"
"1","butt","4","10,344","9.244","-0.422"
"1","butter","6","6,848","8.832","-0.475"
"1","buttercup","9","81","4.394","-0.281"
"1","buttermilk","10","288","5.663","-0.222"
"1","butterscotch","12","74","4.304","-0.032"
"1","buttocks","8","2,399","7.783","-0.230"
"1","button","6","30,330","10.320","-0.688"
"1","buttonhole","10","64","4.159","0.672"
"1","buttonhook","10","9","2.197","0.501"
"1","bystander","9","308","5.730","-0.268"
"1","cab","3","3,387","8.128","-0.544"
"1","cabbage","7","1,124","7.025","-0.505"
"1","cabdriver","9","25","3.219","0.372"
"1","cabin","5","3,130","8.049","-0.516"
"1","cabinet","7","6,439","8.770","-0.500"
"1","cable","5","41,840","10.642","-0.792"
"1","cactus","6","1,211","7.099","-0.254"
"1","caddy","5","657","6.488","-0.014"
"1","cadet","5","1,017","6.925","-0.197"
"1","Cadillac","8","960","6.867","-0.246"
"1","cafe","4","4,444","8.399","-0.502"
"1","cafeteria","9","878","6.778","0.003"
"1","cage","4","8,498","9.048","-0.713"
"1","cake","4","6,250","8.740","-0.777"
"1","calculator","10","3,880","8.264","-0.517"
"1","calf","4","1,478","7.298","-0.490"
"1","calipers","8","322","5.775","0.364"
"1","camel","5","3,375","8.124","-0.441"
"1","camera","6","18,427","9.822","-0.502"
"1","camisole","8","89","4.489","0.195"
"1","can","3","1,625,073","14.301","-0.687"
