"cue","response","AFSS"
"alcohol","share",20
"alcohol","friend",20
"alcohol","prepare",20
"alcohol","brew",20
"alcohol","sanitize",20
"alcohol","calm",20
"alcohol","create",20
"alcohol","fire",20
"alcohol","smell",20
"ale","drink",10
"ale","sell",10
"ale","give",10
"ale","party",10
"ale","store",10
"ale","bottle",10
"ale","cook",10
"ale","drunk",10
"ale","brew",10
"ale","pour",10
"alfalfa","plant",8
"alfalfa","display",8
"alfalfa","grow",8
"alfalfa","eat",8
"alfalfa","cook",8
"alfalfa","decorate",8
"alfalfa","food",8
"alfalfa","feed",8
"algae","clog",17
"algae","grow",17
"algae","cover",17
"algae","research",17
"algae","slide",17
"algae","clean",17
"algae","wash",17
"algae","wipe",17
"algae","suck",17
"algae","harm",17
"algae","cook",17
"algae","fertilize",17
"algae","scrape",17
"algae","food",17
"algae","feed",17
"algae","drop",17
"algae","swim",17
"almond","eat",9
"almond","grind",9
"almond","cook",9
"almond","clean",9
"almond","blend",9
"almond","milk",9
"almond","plant",9
"almond","smell",9
"almond","smash",9
"altar","pray",13
"altar","marry",13
"altar","hold",13
"altar","funeral",13
"altar","sacrifice",13
"altar","eat",13
"altar","worship",13
"altar","pay",13
"altar","kneel",13
"altar","perform",13
"altar","chant",13
"altar","sing",13
"altar","rent",13
"altarpiece","worship",10
"altarpiece","destroy",10
"altarpiece","rebuild",10
"altarpiece","decorate",10
"altarpiece","wash",10
"altarpiece","dry",10
"altarpiece","brush",10
"altarpiece","clean",10
"altarpiece","view",10
"altarpiece","look",10
"aluminum","build",27
"aluminum","melt",27
"aluminum","fold",27
"aluminum","bend",27
"aluminum","shape",27
"aluminum","open",27
"aluminum","cut",27
"aluminum","file",27
"aluminum","sharpen",27
"aluminum","crush",27
"aluminum","lay",27
"aluminum","slide",27
"aluminum","cover",27
"aluminum","wrap",27
"aluminum","mold",27
"aluminum","clean",27
"aluminum","heat",27
"aluminum","craft",27
"aluminum","manufacture",27
"aluminum","cook",27
"aluminum","spell",27
"aluminum","noise",27
"aluminum","roofing",27
"aluminum","weight",27
"aluminum","doorstop",27
"aluminum","lift",27
"aluminum","push",27
"ambulance","drive",13
"ambulance","enter",13
"ambulance","see",13
"ambulance","call",13
"ambulance","wait",13
"ambulance","die",13
"ambulance","travel",13
"ambulance","block",13
"ambulance","show",13
"ambulance","flash",13
"ambulance","sleep",13
"ambulance","treat",13
"ambulance","care",13
"ammunition","load",10
"ammunition","blow",10
"ammunition","store",10
"ammunition","threaten",10
"ammunition","shoot",10
"ammunition","discard",10
"ammunition","explode",10
"ammunition","weight",10
"ammunition","buy",10
"ammunition","fire",10
"amphibian","feed",21
"amphibian","enjoy",21
"amphibian","listen",21
"amphibian","offer",21
"amphibian","reduce",21
"amphibian","study",21
"amphibian","clap",21
"amphibian","pick up",21
"amphibian","touch",21
"amphibian","rescue",21
"amphibian","squish",21
"amphibian","maintain",21
"amphibian","eat",21
"amphibian","pet",21
"amphibian","food",21
"amphibian","cook",21
"amphibian","swim",21
"amphibian","walk",21
"amphibian","jump",21
"amphibian","hide",21
"amphibian","rest",21
"amulet","wear",16
"amulet","clean",16
"amulet","gift",16
"amulet","throw",16
"amulet","sell",16
"amulet","buy",16
"amulet","decorate",16
"amulet","melt",16
"amulet","pawn",16
"amulet","display",16
"amulet","hold",16
"amulet","choke",16
"amulet","tie",16
"amulet","protect",16
"amulet","give",16
"amulet","hunt",16
"anchor","feel",28
"anchor","secure",28
"anchor","throw",28
"anchor","clean",28
"anchor","stop",28
"anchor","lower",28
"anchor","raise",28
"anchor","check",28
"anchor","display",28
"anchor","tie",28
"anchor","attach",28
"anchor","drop",28
"anchor","buy",28
"anchor","sell",28
"anchor","melt",28
"anchor","reuse",28
"anchor","scrape",28
"anchor","polish",28
"anchor","inspire",28
"anchor","wonder",28
"anchor","anchor",28
"anchor","decorate",28
"anchor","weight",28
"anchor","doorstop",28
"anchor","prevent",28
"anchor","damage",28
"anchor","hold",28
"anchor","hook",28
"anchovy","throw away",13
"anchovy","chop",13
