"cues","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","QSS","Animacy","n.unique","n.unique.affordance","total.affordance"
"debris",45,4.75,4.69,2.2041,11.22,6,NA,NA,32,28,66
"deck",47,5.541666667,4.77,3.0839,6.45,4,15,127,27,27,82
"decor",42,4.538461538,3.77,1.7243,10.89,5,NA,NA,33,26,65
"deer",23,4.416666667,4.86,2.6484,5.17,4,18,663,25,21,53
"deerskin",39,4.826086957,4.9,0.301,NA,8,NA,NA,37,27,65
"defendant",25,4.291666667,3.8,2.9566,11.42,9,NA,NA,31,21,40
"delicatessen",25,4.347826087,4.28,1.6232,12.06,12,NA,NA,28,23,57
"deliverer",31,4.52173913,3.72,0.699,8.11,9,NA,NA,31,26,52
"deliveryman",24,4.44,4.23,0.9031,7.76,11,NA,NA,27,24,41
"democrat",19,4.416666667,3.96,1.9395,11.21,8,11,670,28,20,28
"den",31,4.333333333,4.57,2.4955,5.7,3,NA,NA,24,24,63
"denim",33,5.416666667,4.77,1.5315,8.22,5,6,NA,63,48,143
"dentist",38,5.038461538,4.93,2.7574,5.22,7,8,681,34,29,87
"deodorant",23,6.36,5,1.9191,8.83,9,17,NA,25,20,45
"dermatologist",37,4.92,4.21,1.4624,12.62,13,NA,NA,29,24,57
"derriere",42,5.5,4.65,1.2553,13.12,8,NA,NA,28,26,62
"desert",29,4.291666667,4.86,3.1547,8.35,6,8,142,34,27,51
"desk",34,6.260869565,4.87,3.3502,5.56,4,18,104,27,25,73
"dessert",44,5.695652174,4.93,2.8549,5.61,7,13,NA,36,33,111
"detergent",18,5.227272727,4.77,1.7243,7.33,9,12,NA,32,29,54
"detonator",28,4.68,4.76,2.0864,10.63,9,NA,NA,25,22,44
"device",74,5.75,3.97,2.9671,8.06,6,18,104,36,30,100
"diagram",35,4.5,4.36,1.8195,9.63,7,13,NA,27,25,53
"diamond",31,5.304347826,4.89,3.0228,6.47,7,17,119,26,21,71
"diaper",31,5.64,4.82,2.3404,3.4,6,9,NA,30,25,63
"diaphragm",24,4.269230769,3.93,2.0253,12.58,9,NA,NA,27,23,47
"dice",26,6.192307692,4.86,2.7275,6.37,4,23,NA,30,26,67
"dictionary",35,6.04,4.62,2.281,7.28,10,8,NA,28,26,72
"dietician",45,4.72,4.14,0.6021,12.35,9,NA,NA,34,27,78
"dildo",45,6.52173913,4.7,1.8388,15.41,5,NA,NA,32,24,73
"dime",35,6.083333333,4.85,2.7896,5.74,4,9,118,35,31,90
"diner",31,4.375,4.82,2.8014,6.83,5,12,269,35,33,101
"dinner",44,5.545454545,4.5,4.0144,3.99,6,5,168,31,26,84
"dinnerware",32,5.916666667,4.79,0.9031,8.9,10,NA,NA,29,29,83
"dip",21,4.535714286,4.22,2.6096,7,3,16,NA,28,24,47
"diploma",34,5.96,4.93,2.1139,9.33,7,11,NA,31,24,58
"dipper",34,4.909090909,4.21,1.5315,7.72,6,NA,NA,27,22,54
"dipstick",15,5.185185185,3.81,1.415,10.78,8,NA,NA,30,22,34
"dirt",47,5.08,4.86,3.1176,3.83,4,18,204,37,33,98
"dish",32,5.8,4.9,2.7672,4.89,4,15,NA,28,27,91
"dishwasher",29,5.592592593,4.86,2.017,7.16,10,18,NA,29,28,70
"dishwater",29,5.2,4.61,1.0792,6.39,9,NA,NA,25,21,60
"dispenser",22,4.708333333,3.84,1.7243,7.94,9,NA,NA,28,21,39
"dividers",23,4.384615385,4.29,0.4771,8.44,8,NA,NA,25,22,47
"divorcee",35,4.5,3.8,1.3979,11.63,8,NA,NA,33,24,51
"dock",51,4.541666667,4.64,2.6972,8.22,4,10,NA,37,30,95
"doctor",52,5.68,4.69,4.1291,4.6,6,19,691,30,28,92
"document",41,4.818181818,4.41,2.7126,9.86,8,17,NA,29,21,71
"dog",37,6.4,4.85,3.9928,2.8,3,5,696,31,28,91
"dogcatcher",26,4.72,4.35,1.2788,6.05,10,NA,NA,36,32,65
"doghouse",29,5.076923077,4.79,1.7634,6.74,8,NA,NA,32,27,53
"doll",48,6.434782609,5,3.1017,3.68,4,13,117,33,30,110
"dollar",35,6.24,4.93,3.1495,5.06,6,9,119,36,33,95
"dollhouse",40,5.826086957,4.86,1.3617,4.86,9,NA,NA,27,25,79
"dolphin",27,4.52,4.96,2.1523,6.05,7,18,696,27,24,56
"dominoes",26,5.703703704,4.66,1.6628,7.7,8,NA,NA,49,43,108
"donkey",40,4.826086957,5,2.4378,6,6,10,681,26,23,75
"donut",43,NA,4.93,1.8633,NA,5,NA,NA,37,37,115
"door",40,6.217391304,4.81,4.1731,3.05,4,23,143,29,28,96
"doorbell",31,5.916666667,4.82,2.6294,5.05,8,10,NA,35,30,61
"doorframe",34,5.086956522,4.79,0.6021,8.39,9,NA,NA,27,25,59
"doorknob",23,6.518518519,4.97,1.9395,4.7,8,NA,NA,26,26,82
"doorknocker",38,5.52173913,4.7,0.7782,7.06,11,NA,NA,33,30,77
"doorman",21,4.68,4.79,2.2122,9.32,7,NA,NA,27,22,45
"doornail",30,5.4,4.9,1.5682,8.14,8,NA,NA,26,24,41
"doorstep",40,5.333333333,5,2.238,6.11,8,NA,NA,32,30,84
"doorstop",23,5.260869565,4.82,1.1461,6.61,8,NA,NA,27,21,51
"dorm",38,4.32,4.41,2.5682,9.89,4,16,NA,29,24,85
"dormitory",27,4.821428571,4.64,1.716,11.22,9,NA,NA,28,26,70
"douche",24,4.652173913,4.13,2.0828,13.39,6,NA,NA,28,22,39
"dough",27,6.086956522,4.79,2.909,6.63,5,13,204,30,26,79
"doughnut",33,6.260869565,4.96,2.3345,5.42,8,15,NA,27,25,57
"dove",28,4.333333333,4.88,2.4548,6.63,4,11,673,27,21,40
"drain",32,4.291666667,4.61,2.6444,6.26,5,19,NA,34,28,56
"drainpipe",37,4.875,4.86,1.4624,9.11,9,NA,NA,37,33,69
"drapery",29,4.68,4.32,0.6021,12,7,NA,NA,25,21,43
"drawers",39,5.869565217,4.96,2.3404,6.05,7,NA,NA,35,35,149
"drawing",44,4.695652174,4.6,2.9128,4.83,7,15,NA,32,29,73
"drawstring",22,5.28,4.74,0.6021,9.72,10,NA,NA,25,21,47
"dress",37,6.16,4.93,3.6482,4.05,5,15,100,25,22,69
"dresser",28,5.04,4.96,2.2625,4.28,7,14,150,25,20,57
"dressing",33,5.08,4.03,2.9058,5.68,8,14,NA,38,28,71
"dressmaker",28,4.875,4.64,1.4624,9.3,10,NA,NA,27,24,55
"driftwood",37,5.416666667,4.88,1.6435,9.53,9,NA,NA,29,26,69
"drill",32,5.739130435,4.4,2.8463,7.14,5,19,104,26,25,55
"drink",38,6.074074074,4.76,4.101,3.47,5,20,NA,25,20,57
"driver",20,4.565217391,4.71,3.3833,4.95,6,16,629,28,20,31
"drone",46,4.291666667,3.93,2.1614,10.11,5,NA,NA,26,24,75
"drug",44,5.375,4.48,3.363,8.11,4,20,179,31,28,81
"drugstore",25,5.260869565,4.82,2.3424,7.53,9,NA,NA,31,25,49
"drum",33,5.8,4.96,2.6365,4.63,4,16,100,27,24,63
"drumstick",32,5.708333333,4.96,1.2788,7.79,9,NA,NA,31,29,76
"dryer",30,5.56,4.79,2.3655,6.16,5,9,NA,30,26,54
"drywall",40,5.208333333,4.7,1.2304,12.06,7,NA,NA,34,29,64
"duck",37,5.041666667,4.86,3.1017,3.5,4,16,669,30,25,79
"duckling",29,5.125,4.93,1.6021,4.95,8,NA,NA,27,21,54
"duckweed",32,4.4,4.29,0.301,13.2,8,NA,NA,26,22,46
"ductwork",25,4.52173913,4.81,0.699,12.6,8,NA,NA,26,22,35
"dude",49,5,3.93,3.7052,7.89,4,NA,NA,37,23,70
"duffel",29,4.380952381,4.12,1.8865,10.11,6,NA,NA,28,22,51
"dumbbell",34,5.958333333,4.69,1.415,7.56,8,NA,NA,34,30,84
"dumbwaiter",30,4.44,4.55,1.2304,11.47,10,NA,NA,26,24,52
"dumpling",29,4.826086957,4.65,1.6628,8.5,8,NA,NA,25,24,64
"dust",14,4.827586207,4.4,3.0853,5.06,4,16,124,29,24,32
"dustbin",36,5.708333333,4.54,0.9031,9.28,7,NA,NA,29,26,73
"duster",17,5.32,4.64,1.3222,8.11,6,NA,NA,27,25,49
"dwarf",25,4.333333333,4.45,2.1987,7.65,5,9,627,28,20,38
"dwelling",32,4.857142857,4.14,1.8388,9.05,8,NA,NA,28,20,59
"dye",28,4.52173913,4.58,2.2967,7.56,3,NA,NA,33,25,64
"dynamite",35,5.260869565,4.68,2.7126,7.11,8,16,NA,33,31,75
"ear",27,6.652173913,5,3.213,3.63,3,14,500,30,28,67
"earmuff",22,6.260869565,4.85,0.6021,7,7,NA,NA,26,24,61
"earphone",37,5.52173913,4.74,0.8451,9.45,8,NA,NA,33,32,80
"earpiece",31,5.76,4.79,1.4472,10.28,8,NA,NA,39,34,65
"earplug",30,6.111111111,4.82,0.6021,7.58,7,NA,NA,33,27,51
"earplugs",36,6.541666667,4.9,1.6435,NA,8,NA,NA,29,26,75
"earring",43,6.428571429,4.96,2.143,7.17,7,11,NA,30,26,91
"earth",37,5.555555556,4.8,3.7054,5.37,5,12,468,30,24,69
"earthworm",34,4.916666667,4.89,0.9031,5.35,9,NA,NA,25,21,57
"earwax",26,5.041666667,4.87,1,6.39,6,NA,NA,30,27,51
"easel",29,4.72,4.97,1.1761,7,5,NA,NA,31,26,73
"eclair",23,6.166666667,4.75,1.0414,10.76,6,NA,NA,27,22,51
"ecologist",21,4.458333333,3.68,0.4771,12.65,9,NA,NA,27,20,29
"edibles",37,5.428571429,3.86,0.4771,11.17,7,NA,NA,35,32,88
"editor",28,4.5,4.25,2.8021,10.11,6,11,NA,28,22,51
"educator",49,5,4,1.3979,8.55,8,NA,NA,26,26,95
"eel",37,4.653846154,4.69,1.8692,6.47,3,NA,NA,32,30,82
"egg",36,6.068965517,4.97,3.1235,3.89,3,20,342,30,27,115
"eggbeater",27,5.96,4.89,1.1139,9.05,9,NA,NA,33,32,74
"eggplant",31,5.807692308,4.97,1.7559,8.3,8,NA,NA,28,26,73
"eggshell",27,5.791666667,4.77,1.3802,7.11,8,NA,NA,35,31,59
"elbow",39,6.458333333,5,2.4969,4.78,5,10,492,31,30,70
"electrician",31,4.625,4.21,1.8865,8.75,11,22,673,25,22,52
"electrocardiogram",26,4.347826087,4.16,0.699,13.29,17,NA,NA,33,26,36
"electronics",54,5.12,4.37,2.1461,9.21,11,NA,NA,35,33,112
"elephant",46,4.36,5,2.7642,4.8,8,19,700,43,37,99
"elevator",19,5.486522911,4.79,3.0955,5.47,8,14,105,27,22,39
"employee",36,5.045454545,4.1,2.7716,7.84,8,9,689,26,20,66
"employer",34,5.291666667,3.81,2.4393,10.15,8,7,662,26,22,51
"enamel",24,4.652173913,4.21,1.4771,12.9,6,NA,NA,29,21,36
"encyclopedia",31,6.16,4.79,1.9138,7.17,12,14,NA,38,33,89
"enemy",29,4.375,2.83,3.3936,7.26,5,17,634,29,23,45
"engine",39,5.333333333,4.86,3.2114,6.28,6,16,140,33,28,69
"engineer",28,5.379310345,4.64,2.776,9.89,8,24,632,28,25,54
"entertainer",29,4.964285714,4.17,1.9294,7.85,11,NA,NA,27,23,64
"entomologist",23,4.583333333,3.88,1.301,14.86,12,NA,NA,26,22,50
"entree",23,5.28,4.28,1.6335,11.22,6,NA,NA,30,19,59
"envelope",44,5.64,4.93,2.711,6.25,8,10,100,37,35,108
"environment",52,4.52173913,3.74,2.8149,9.85,11,21,NA,38,30,77
"environmentalist",39,4.482758621,3.72,1.1461,12.89,16,NA,NA,27,26,56
"epidermis",50,5.636363636,4.69,1.2041,13.44,9,NA,NA,37,31,88
"equipment",51,5.28,4.83,3.1136,7.5,9,NA,NA,28,25,82
"eraser",36,5.791666667,4.74,1.716,4.95,6,10,NA,36,35,77
"erection",33,5.4,4.22,2.0492,13.11,8,NA,NA,31,30,56
"escalator",16,5.52,5,1.8261,7.11,9,7,NA,28,25,48
"espresso",31,5.24,4.41,2.0253,13.26,8,NA,NA,29,24,61
"essay",43,4.333333333,3.97,2.4969,8.39,5,17,NA,27,26,79
"evergreen",33,4.444444444,4,1.0414,8.95,9,NA,NA,31,28,57
"examiner",38,4.565217391,3.57,2.1173,11.95,8,NA,NA,26,23,53
"excavator",32,4.409090909,4.07,0.699,13,9,NA,NA,26,23,54
"executioner",20,4.44,4.17,1.8451,9.79,11,NA,NA,27,25,40
"extinguisher",37,5.043478261,4.7,1.8976,7.35,12,NA,NA,37,34,80
"eye",39,5.72,4.9,3.756,3.75,3,13,516,31,29,96
"eyeball",27,5.555555556,4.92,1.9777,3.83,7,19,NA,29,28,70
"eyebath",17,4.368421053,3.79,0.301,12.43,7,NA,NA,30,25,40
"eyedrop",29,5.48,4.81,0.6021,7.39,7,NA,NA,34,25,44
"eyeglass",26,5.958333333,4.7,0.6021,6.33,8,NA,NA,24,24,63
"eyeglasses",23,6.28,4.92,1.5441,4.9,10,NA,NA,29,28,66
"eyelash",35,5.423076923,5,1.6532,5.8,7,15,NA,35,30,77
"eyelid",28,5.52173913,5,1.2553,6.33,6,NA,NA,33,30,75
"eyepiece",31,5.8,4.74,0.4771,9,8,NA,NA,33,31,62
"eyewash",23,5.4,4.7,0.9031,11,7,NA,NA,27,24,47
"fabric",40,6.08,4.63,2.3909,6.68,6,15,NA,33,30,96
"face",49,5.857142857,4.87,4.1687,3.75,4,20,436,27,25,74
"factory",29,4.44,4.76,2.9335,6.89,7,24,113,35,32,66
"fairground",43,4.608695652,4.7,1.0414,7.22,10,NA,NA,33,26,78
"family",44,5.291666667,4.23,4.2569,3.38,6,25,676,36,32,91
"fan",38,5.72,4.71,3.2536,5.63,3,17,275,35,30,76
"farm",39,5.035714286,4.59,3.1855,3.85,4,12,272,30,26,80
"farmer",33,5.08,4.54,2.7818,4.74,6,33,697,26,21,65
"farmhand",37,4.4,4.52,0.6021,7.89,8,NA,NA,34,31,68
"farmhouse",37,5.068965517,4.74,1.8325,5.89,9,NA,NA,25,22,72
"fastener",31,4.347826087,4.1,0.301,8.72,8,NA,NA,28,23,58
"father",61,6.035714286,4.52,4.4515,4.11,6,4,696,38,30,102
"faucet",19,5.869565217,4.48,1.8692,6.29,6,7,NA,28,23,58
"fauna",48,5,3.96,1.4472,12.2,5,NA,NA,35,27,68
"fawn",37,4.535714286,4.3,1.5682,8.4,4,6,683,26,23,69
"feast",37,4.384615385,4.3,2.5353,7.81,5,15,129,32,27,80
"feather",38,5.260869565,4.9,2.5302,4.67,7,14,161,27,21,61
"featherbed",24,5.434782609,4.69,0.9542,9.35,10,NA,NA,27,25,55
"fedora",32,6.291666667,4.5,1.1461,12.69,6,NA,NA,37,34,75
"feline",34,5.458333333,4.38,1.6721,8.43,6,NA,NA,27,20,63
"female",33,5.689655172,4.57,3.2076,5.89,6,12,688,29,21,55
"femur",23,4.5,4.88,1.7709,11.11,5,NA,NA,29,24,63
"fence",44,5.62962963,4.82,2.9138,6.28,5,20,104,41,38,109
"fern",52,5.005471956,5,2.2148,8.67,4,NA,NA,32,29,80
"ferret",28,5,4.97,1.9243,8.47,6,NA,NA,29,26,61
"ferryboat",27,5.083333333,4.77,1.3424,8.63,9,NA,NA,25,22,68
"fertilizer",33,5.217391304,4.76,2.0043,7.67,10,NA,NA,28,25,57
"festival",45,4.5,4.33,2.7042,8.39,8,13,NA,30,26,83
"fiancee",34,5.652173913,3.86,2.1903,8.47,7,NA,NA,27,27,76
"fiddle",39,6.043478261,4.81,2.2695,8.28,6,15,122,35,31,83
"fig",28,5.083333333,4.97,1.7993,8.06,3,10,NA,27,25,65
"figurine",42,5.791666667,4.86,1.1761,9,8,NA,NA,33,30,88
"file",28,5.041666667,4.41,3.3516,8.21,4,16,NA,25,20,48
"fillet",23,4.32,4.75,1.415,10.95,6,NA,NA,29,22,51
"film",37,4.32,4.71,3.5223,6.95,4,12,NA,34,29,75
"finger",54,6,5,3.2721,3.43,6,12,470,34,32,124
"fingerboard",21,5.15,4.35,0.699,11.65,11,NA,NA,27,21,35
"fingernail",31,5.88,4.93,1.8388,4,10,15,NA,27,26,83
"fingerprint",44,4.291666667,4.96,2.2148,7.56,11,NA,NA,35,31,76
"fingertip",39,5.928571429,4.93,1.0414,6,9,NA,NA,26,23,76
"fir",39,4.272727273,4.58,1.3617,8.75,3,NA,NA,29,21,63
"firearm",42,5.814814815,4.64,1.8865,9.94,7,NA,NA,32,31,85
"firecracker",34,4.916666667,4.68,1.7404,5.56,11,NA,NA,26,22,59
"fireplace",29,5.458333333,4.68,2.415,7.37,9,15,119,31,31,72
"firewood",42,5.72,4.93,1.8921,6.61,8,NA,NA,31,30,92
"firstborn",57,4.518518519,4.04,1.6128,8.83,9,NA,NA,35,26,87
"fish",45,5.592592593,5,3.6293,4.05,4,24,635,30,29,112
"fishbone",33,5.173913043,4.57,0.699,7.64,8,NA,NA,30,25,51
"fisherman",50,4.851851852,4.73,2.3464,5.16,9,NA,NA,34,29,90
"fishpond",30,4.791666667,4.71,0.6021,6.94,8,NA,NA,30,24,61
"fist",32,6.08,4.93,2.5752,4.58,4,8,412,24,23,62
"fixture",29,5,4.17,1.5185,8.53,7,NA,NA,30,24,48
"flag",32,5.851851852,4.79,2.9509,5.33,4,12,100,29,26,71
"flagpole",36,4.785714286,4.86,1.5798,6.44,8,NA,NA,37,35,66
"flamethrower",32,4.740740741,4.57,1.4771,8.89,12,NA,NA,25,22,47
"flannel",32,4.869565217,4.43,1.8513,9.44,7,12,NA,57,47,148
"flapjack",38,5.2,4.89,1.1461,8.5,8,NA,NA,30,26,85
"flashbulb",29,4.375,4.75,0.6021,7.78,9,NA,NA,31,28,65
"flashlight",44,5.869565217,5,2.4814,5.61,10,17,NA,38,36,93
"flask",29,5.416666667,4.79,1.7634,10.78,5,17,118,33,28,68
"flatiron",35,5.590909091,4.24,0.8451,11.67,8,NA,NA,34,31,68
"flaxseed",27,5.037037037,4.46,0.7782,15.78,8,NA,NA,27,26,61
"fleece",28,4.5,4.75,1.7782,10.2,6,NA,NA,33,30,70
"flesh",43,4.782608696,4.59,3.0515,8.3,5,8,525,33,29,80
"floor",42,5.666666667,4.8,3.7104,4.44,5,12,NA,29,28,110
"floorboard",51,5.791666667,4.89,1.1461,9.35,10,NA,NA,35,33,93
"flooring",38,4.565217391,4.43,1.3617,7.84,8,NA,NA,32,25,80
"florist",38,4.444444444,4.62,2.0934,8.45,7,NA,NA,26,20,61
"floss",27,5.166666667,4.41,2.0043,7.06,5,NA,NA,26,21,57
"flounder",28,4.52173913,3.92,1.6435,8.8,8,NA,NA,29,24,68
"flour",27,5.875,4.97,2.2095,6.89,5,13,129,28,27,64
"flower",65,5.916666667,5,3.0652,3.11,6,21,624,39,34,145
"flowerbed",46,5.041666667,4.71,0.8451,7.05,9,NA,NA,34,28,69
"flowerpot",34,5,4.81,1.1761,6.55,9,NA,NA,37,33,82
"fluid",60,4.923076923,4.73,2.6599,7.94,5,13,NA,38,38,127
"flute",32,5.75,5,2.0374,8.47,5,19,112,36,34,98
"flycatcher",14,5.375,4.61,0.4771,7.95,10,NA,NA,25,22,34
"flypaper",24,5.037037037,4.77,1.1761,9.48,8,NA,NA,25,24,45
"flyswatter",31,5.703703704,5,0.4771,5.79,10,NA,NA,27,27,64
"foghorn",31,4.583333333,4.96,1.1139,8.94,7,NA,NA,35,30,60
"folder",43,6.260869565,4.93,1.9243,8.21,6,13,NA,35,32,87
"foliage",42,4.6,4.67,1.4472,10.63,7,NA,NA,29,23,59
"fondue",27,4.92,4.79,1.6812,10.78,6,NA,NA,36,33,71
"food",45,6.470350404,4.8,3.8964,3.25,4,18,NA,35,35,123
"foodstuff",33,4.846153846,4,0.4771,11.17,9,NA,NA,26,25,72
"foot",36,6,4.9,3.5201,3.44,4,9,522,25,23,92
"football",33,6.12,4.73,3.2822,4.84,8,23,NA,27,26,84
"footballer",42,5.041666667,4.52,1.2304,8.71,10,NA,NA,32,26,80
"footbath",23,5.090909091,4.46,0.699,8.53,8,NA,NA,33,29,56
"footboard",25,5.086956522,4.77,0.301,8.82,9,NA,NA,27,21,37
"footbridge",41,4.777777778,4.81,0.8451,11.2,10,NA,NA,28,26,76
"footpad",36,5.041666667,4.37,0.699,11.06,7,NA,NA,28,23,50
"footpath",24,4.592592593,4.79,1.1761,7.72,8,NA,NA,26,23,56
"footplate",27,4.875,4.58,0.301,11.33,9,NA,NA,32,25,42
"footstool",29,6.304347826,4.96,0.9542,6,9,NA,NA,37,35,85
"footwear",38,6.434782609,4.66,1.6128,7.74,8,NA,NA,26,24,76
"forceps",34,4.869565217,4.79,1.5441,13.74,7,NA,NA,32,29,67
"ford",16,4.416666667,4.19,2.7694,8.1,4,NA,NA,26,21,41
"forearm",39,5.782608696,4.69,1.7076,8.65,7,NA,NA,27,25,54
"forefinger",36,5.16,4.64,1.1761,7.26,10,NA,NA,27,25,72
"forehead",38,5.777777778,4.9,2.6031,5.58,8,19,488,32,21,55
"forest",45,4.6,4.76,2.9841,6.28,6,9,500,24,24,62
"fork",32,5.6,4.9,2.6542,3.63,4,8,100,27,27,72
"forklift",45,5.541666667,4.79,1.699,9.11,8,NA,NA,40,39,112
"fossil",49,4.925925926,4.9,1.9031,7.5,6,13,NA,38,31,95
"fountain",36,5.208333333,4.77,2.5478,7.17,8,7,107,36,32,88
"fountainhead",31,4.523809524,3.87,0.9031,NA,12,NA,NA,30,25,44
"foxhound",33,4.347826087,4.48,0.4771,9.33,8,NA,NA,34,30,72
"frame",27,4.956521739,4.3,2.8573,7.67,5,7,NA,28,27,62
"frankfurter",31,5.708333333,4.88,1.0792,NA,11,NA,NA,25,22,74
"freezer",17,5.260869565,4.87,2.4216,4.63,7,10,NA,25,20,42
"fridge",31,6.166666667,4.92,2.7016,4.67,6,NA,NA,37,36,80
"friend",40,5,3.07,4.3301,3.57,6,22,650,28,25,79
"frog",35,5.125,5,2.781,4.32,4,20,700,28,24,60
"frosting",27,5,4.86,1.8633,4.95,8,7,NA,27,22,52
"fruit",41,6,4.81,3.0449,3.63,5,17,567,30,28,89
"fruitcake",28,6,4.62,2.0253,8.28,9,NA,NA,26,26,70
"fryer",22,5.541666667,4.5,1.5315,8.56,5,NA,NA,28,24,61
"fudge",33,5.68,4.89,2.2695,5.78,5,11,NA,25,24,68
"fungus",46,4.32,4.59,2.0531,8.44,6,16,522,33,26,76
"funnel",26,4.833333333,4.52,1.7559,8.44,6,NA,NA,34,29,59
"furnace",27,4.68,4.69,2.143,10.6,7,NA,NA,35,30,65
"furnishings",23,6.166666667,4.31,1.3979,10.28,11,NA,NA,26,21,55
"furniture",45,6.56,4.89,2.8865,5.89,9,12,112,25,22,103
"gadget",48,5.52,4.6,2.0969,8.63,6,NA,NA,28,21,63
"gambler",31,4.416666667,4.03,2.3711,10.26,7,NA,NA,33,26,61
"game",45,4.518518519,4.5,4.0765,4.26,4,13,NA,38,34,99
"gangster",30,4.36,3.93,2.4362,8.5,8,12,657,27,21,42
"garage",28,4.96,4.96,3.1427,5.26,6,12,NA,31,27,66
"garb",27,4.541666667,4.19,1.2304,12.05,4,NA,NA,25,19,51
"garbage",30,4.96,4.69,3.1245,4.89,7,14,NA,28,25,54
"garden",47,5.913043478,4.73,3.1319,5.33,6,14,470,36,28,84
"gardener",47,4.958333333,4.5,2.3324,6.5,8,NA,NA,36,31,97
"garland",24,5.166666667,4.85,2.0492,10.93,7,NA,NA,28,26,50
"garlic",31,6.32,4.89,2.4871,6.89,6,19,380,27,25,67
"garment",44,5.826086957,4.78,1.8573,8.32,7,NA,NA,26,24,72
"garnets",21,4.65,4.12,0.699,NA,7,NA,NA,26,19,39
"gasket",23,4.846153846,4.44,1.5441,10.9,6,NA,NA,26,20,32
"gate",38,5.956521739,4.96,3.2135,5.32,4,12,NA,36,34,104
"gatehouse",42,4.464285714,4.48,0.9542,11.67,9,NA,NA,31,28,61
"gatekeeper",20,4.44,4.21,1.5563,9.94,10,NA,NA,27,22,32
"gauze",41,5.88,4.62,1.8692,9.32,5,13,NA,34,28,65
"gavel",38,4.545454545,4.88,1.6021,9.22,5,8,136,29,27,65
"gazebo",37,5.25,4.79,1.6721,9.76,6,NA,NA,29,28,74
"gear",37,4.695652174,4.28,2.9122,7.61,4,21,NA,38,31,73
"gearbox",20,5.041666667,4.72,1,10.24,7,NA,NA,27,23,46
"gem",35,5.517241379,4.88,2.1038,7.68,3,7,133,35,23,64
"generator",31,4.47826087,4.23,2.4639,11.11,9,NA,NA,31,27,52
"genitals",35,6.130434783,4.96,1.8062,NA,8,NA,NA,98,86,192
"gentleman",51,4.961538462,3.57,3.3296,6.89,9,16,665,27,19,63
"geranium",25,4.695652174,4.76,0.9542,11.41,8,NA,NA,28,21,46
"germ",37,4.333333333,3.89,1.8129,5.95,4,16,532,36,27,62
"giblets",22,4.714285714,4.58,1.1761,NA,7,NA,NA,30,23,57
"gift",45,5.380952381,4.56,3.5173,5.05,4,16,154,36,34,107
"gin",43,5.074074074,4.46,2.7604,12.06,3,11,NA,27,25,84
"ginger",32,5.32,4.92,2.5159,8.05,6,NA,NA,32,28,66
"gingerbread",28,5.48,4.88,1.5315,6,11,NA,NA,30,26,86
"gingersnap",22,4.703703704,4.76,0.301,9.11,10,NA,NA,27,26,59
"girdle",25,5.52173913,4.63,1.9031,10.22,6,NA,NA,25,21,33
"girl",33,5.52,4.85,4.4535,4,4,8,693,25,19,44
"girlfriend",41,5.730769231,4.25,3.5891,6.26,10,13,684,30,23,66
"glass",36,6.12,4.82,3.4909,4.47,5,21,100,30,28,91
"glassblower",25,4.52173913,4.33,0.301,NA,11,NA,NA,33,30,55
"glasses",26,6.541666667,4.9,3.2279,4.35,7,16,NA,24,24,66
"glassware",34,5.964285714,4.59,0.9031,9.72,9,NA,NA,37,36,111
"glider",34,4.5,4.32,1.5563,10.47,6,NA,NA,28,25,52
"glitter",27,4.434782609,4.43,2.0212,5.22,7,NA,NA,27,25,47
"globe",33,5.28,4.59,2.4265,6.5,5,10,NA,27,24,66
"glue",36,5.043478261,4.65,2.4786,4.67,4,8,NA,39,37,87
"glycerine",29,4.434782609,4,0.4771,13.45,9,NA,NA,27,20,32
"goalkeeper",26,4.458333333,4.5,1.2304,8,10,NA,NA,28,22,49
"goalpost",32,4.84,4.96,1.1461,9.83,8,NA,NA,30,22,49
"goat",34,4.8,5,2.7308,5.21,4,16,689,36,28,91
"goatee",33,4.375,4.89,1.7404,11.78,6,NA,NA,34,25,69
"goatskin",21,4.44,4.8,0.6021,10.25,8,NA,NA,33,20,39
"goblet",30,5.826086957,4.65,1.301,11.44,6,NA,NA,28,24,66
"goddaughter",27,5.04,3.72,1.2041,8.05,11,NA,NA,27,18,41
"godfather",24,5.043478261,4.14,2.4456,8.47,9,NA,NA,27,21,33
"godmother",36,5.19047619,3.72,1.9191,6.95,9,NA,NA,30,25,63
"godparent",39,5.260869565,4,0.699,7.71,9,NA,NA,29,24,61
"goggles",32,6.125,4.93,2.0334,7.05,7,NA,NA,52,49,113
"gold",57,4.75,4.81,3.605,7.1,4,16,104,36,31,104
"goldfish",30,4.739130435,4.79,2.1931,4.5,8,NA,NA,34,29,77
"goldsmith",28,4.375,4.73,1.2553,10.17,9,NA,NA,34,25,55
"golf",24,4.76,4.52,3.1149,7.16,4,14,NA,26,23,50
"golfer",28,4.583333333,4.71,1.7559,7.16,6,NA,NA,35,28,63
"gondola",29,4.916666667,4.92,1.5798,10.21,7,NA,NA,28,24,55
"goose",25,5.260869565,4.81,2.8235,5.15,5,11,696,27,23,55
"gooseberry",26,5.041666667,4.7,1.1761,9.41,10,NA,NA,30,25,60
"goulash",36,4.846153846,4.2,1.6232,8.89,7,NA,NA,28,23,69
"gourd",32,5.208333333,4.86,1.3979,10.65,5,NA,NA,29,27,62
